name,date,author,risk_score,severity,tactic,technique,subtechnique
Excessive Web Traffic,2026/09/08,['KZW'],50,medium,Discovery,T1046 - Network Service Discovery,none - none
Data Exfiltration Observed via FTP,2026/09/08,['KZW'],44,low,Exfiltration,T1020 - Automated Exfiltration,none - none
Web Scanner Activity - Nmap and Nikto,2026/09/08,['KZW'],30,low,Discovery,T1046 - Network Service Discovery,none - none
Bat files observed in HTTP traffic on Unusual Port,2026/09/08,['KZW'],35,low,Execution,T1059 - Command and Scripting Interpreter,T1059.003 - Windows Command Shell
Encode/Decode files using certutil,2026/09/17,['KZW'],50,medium,Stealth,T1027 - Obfuscated Files or Information,T1027.013 - Encrypted/Encoded File
Data archive for potential exfiltration,2026/09/08,['KZW'],25,low,Collection,T1074 - Data Staged,T1074.001 - Local Data Staging
Suspicious Downloading of files using certutil.exe,2026/09/17,['KZW'],50,medium,Command and Control,T1105 - Ingress Tool Transfer,none - none
Powershell Invoke-WebRequest or iwr downloading a .bat file,2026/09/08,['KZW'],25,low,Execution,T1059 - Command and Scripting Interpreter,T1059.001 - PowerShell
Suspicious File Written to Temp Directory,2026/09/08,['KZW'],25,low,Discovery,T1082 - System Information Discovery,none - none
Suspicious download of file using certutil and saving it as ADS,2026/09/17,['KZW'],75,high,Stealth,T1564 - Hide Artifacts,T1564.004 - NTFS File Attributes
MSF Venom powershell reverse shell payload observed,2026/09/08,['KZW'],75,high,Execution,T1059 - Command and Scripting Interpreter,T1059.001 - PowerShell
Suspicious File added to Registry,2026/09/08,['KZW'],50,medium,Persistence,T1547 - Boot or Logon Autostart Execution,T1547.001 - Registry Run Keys / Startup Folder
Powershell Execution via Batch File,2026/09/08,['KZW'],25,low,Execution,T1059 - Command and Scripting Interpreter,T1059.001 - PowerShell
